Hotspot_ID,Latitud,Longitud,N_Delitos,Prioridad
1,7.124902,-73.123117,97040,MUY ALTA
5,7.178022,-73.131514,3008,MUY ALTA
4,7.082545,-73.123256,2445,MUY ALTA
28,7.082919,-73.115749,2247,MUY ALTA
0,7.170557,-73.135108,1375,MUY ALTA
18,7.098720,-73.118126,1277,MUY ALTA
7,7.133880,-73.110638,742,ALTA
32,7.154633,-73.143684,707,ALTA
2,7.150973,-73.146226,634,ALTA
21,7.090628,-73.116225,623,ALTA
10,7.092303,-73.136843,559,ALTA
13,7.090910,-73.143842,559,ALTA
37,7.090222,-73.132611,529,ALTA
20,7.093036,-73.125287,529,ALTA
3,7.186938,-73.132062,495,MEDIA
30,7.102718,-73.099631,450,MEDIA
6,7.082825,-73.135543,445,MEDIA
58,7.102492,-73.164728,418,MEDIA
22,7.093948,-73.139151,407,MEDIA
36,7.109807,-73.123050,382,MEDIA
25,7.111196,-73.104050,346,MEDIA
14,7.180713,-73.143249,339,MEDIA
16,7.145913,-73.138426,333,MEDIA
9,7.158332,-73.131483,327,MEDIA
41,7.148937,-73.139892,309,MEDIA
49,7.109176,-73.105861,303,MEDIA
44,7.076979,-73.117906,303,MEDIA
40,7.088030,-73.129449,288,MEDIA
17,7.092766,-73.133788,277,MEDIA
38,7.116602,-73.138706,212,MEDIA
50,7.091890,-73.112908,202,MEDIA
29,7.126061,-73.136889,187,BAJA
45,7.152387,-73.141602,182,BAJA
19,7.139682,-73.116737,179,BAJA
46,7.082085,-73.130404,178,BAJA
56,7.100745,-73.171218,162,BAJA
34,7.110970,-73.139931,147,BAJA
11,7.171741,-73.133317,145,BAJA
39,7.121409,-73.105837,143,BAJA
8,7.199311,-73.129238,141,BAJA
51,7.098150,-73.114443,123,BAJA
24,7.146521,-73.122298,117,BAJA
55,7.089287,-73.126138,107,BAJA
12,7.095555,-73.135556,105,BAJA
35,7.096774,-73.102409,104,BAJA
42,7.109558,-73.142435,102,BAJA
31,7.095261,-73.104016,101,BAJA
33,7.094219,-73.128723,98,BAJA
26,7.172255,-73.135013,93,BAJA
60,7.097998,-73.163100,92,BAJA
57,7.093696,-73.121879,92,BAJA
43,7.117439,-73.105493,83,BAJA
48,7.073578,-73.119787,82,BAJA
64,7.087965,-73.119533,81,BAJA
54,7.128629,-73.093785,67,BAJA
23,7.120108,-73.103261,66,BAJA
47,7.109258,-73.125389,65,BAJA
52,7.115170,-73.140115,61,BAJA
59,7.080907,-73.120113,59,BAJA
27,7.140918,-73.108195,58,BAJA
61,7.105901,-73.097460,56,BAJA
15,7.174476,-73.129974,53,BAJA
66,7.101155,-73.115648,52,BAJA
53,7.182793,-73.145195,51,BAJA
67,7.092037,-73.118804,50,BAJA
65,7.081101,-73.124839,46,BAJA
63,7.153226,-73.124731,36,BAJA
62,7.129794,-73.136504,36,BAJA
